# default tests migrated from PARSETEST/NORMTEST
# columns: name<TAB>display<TAB>input<TAB>expected<TAB>mode(parse|norm)

merge/dots/align3	R dots on left of L	{1 ... 6}  = {... &{4 5 6}}	*_+{1 &{&{ ... } 4 5} 6}	norm
merge/dots/align4	Harder to detect end	{1 ... 5 _} = {... 4 5 6}	*_+{1 &{&{ ... } 4} 5 6}	norm
merge/dots/align4b	Ambiguous situation	{1  4 ... 5 _} = {... 4 5 6}	{1 4 &{4 5 6 ... } 5 6}	norm
# merge/dots/align5	Test 5 of alignment	{1 ... 4 ...} = {... &{4 ...} 7}	{1 ... 4 ... 7}	norm
EmbeddedLists/LHS	Test &{} on LHS	{1 2 &{_ _} _} = {1 2 3 4 5}	{1 2 &{3 4} 5}	norm
EmbeddedLists/RHS	Test &{} on RHS	{1 2 _ _ _} = {1 2 &{3 4} 5}	{1 2 3 4 5}	norm
EmbeddedLists/eLHS	Test &{} on LHS	{1 2 &{} _} = {1 2 3}	{1 2 &{} 3}	norm
EmbeddedLists/eRHS	Test &{} on RHS	{1 2 _ _ _} = {1 2 &{} 3 4 5}	{1 2 3 4 5}	norm
EmbeddedLists/e_e	&{} on both sides	{1 2 &{} _ _} = {1 2 &{} 3 4}	{1 2 &{} 3 4}	norm
EmbeddedLists/f_f	&{..} on both sides	{1 2 &{_ 4} _} = {1 2 &{3 _} 5}	{1 2 &{3 4} 5}	norm
getLastItem/simple	Test getLast	[2 3 4 5]	5	norm
getLastItem/embedded	getLast with &{}	[2 3 4 &{5 6 7}]	7	norm
getLastItem/list	getLast with {}	[2 3 4 {5 6 7}]	{5 6 7}	norm
getLastItem/intID	getLast int	[2 3 _] = 5	5	norm
getLastItem/strID	getLast str	[2 3 $] = 'hello'	'hello'	norm
getLastItem/listID	getLast list	[7 8 9 {...}] = {1 2 3}	{1 2 3}	norm
getLastItem/intIDQ	getLast int Q	[2 3 ?] = 5	5	norm
getLastItem/strIDQ	getLast str Q	[2 3 ?] = 'hello'	'hello'	norm
getLastItem/listIDQ	getLast list Q	[2 3 ?] = {4 5 6}	{4 5 6}	norm
altSelect/simple	Select alternate	3 = *_+[2 3 4]	3	norm
pushArg/rightFirst	test right arg	{_ 6 _}<:5	{5 6 _}	norm
pushArg/leftFirst	test left arg	5:>{_ 6 _}	{5 6 _}	norm
pushArg/rightLast	test right inverse	{_ 6 _}<!7	{_ 6 7}	norm
pushArg/leftLast	test left inverse	7!>{_ 6 _}	{_ 6 7}	norm
concat/oneItem	Test null concat	('Hello')	'Hello'	norm
concat/simpleStr	simple string concat	('Hello' ' there' ' world')	'Hello there world'	norm
concat/twoNums	Test small concat	{1 (*8+4 *4+3) 3}	{1 *32+19 3}	norm
concat/strCat	string concat	(('Hello' ' There!' (' How' ' are' (' you' ' Doing') '?')))	'Hello There! How are you Doing?'	norm
concat/numCat	integer concat	((*5+2 *6+3 (*7+4 *8+5 (*9+6 *10+7) *1+8)))	*151200+79005	norm
concat/simpleList	simple list	({1 2} {} {3 4})	{1 2 3 4}	norm
concat/listCat	list concat	(({1 2} {} {3} ({4 5} ({} {6 7}) {8} {})))	{1 2 3 4 5 6 7 8}	norm
concat/parseSrc	Parse a concatenated string	[*4+$ *10+$] <~ ('DO' 'gsTin' 'tinabulation')	'Tintinabul'	norm
tUnknown/simple	test isolated tUnknown	?	?	norm
tUnknown/simple2	test tUnknown = ?	?=?	?	norm
tUnknown/unknownIsNum	test tUnknown = _	?=_	_	norm
tUnknown/unknownIsStr	test tUnknown = $	?=$	$	norm
tUnknown/unknownIsLst1	test tUnknown = {}	?={2 3 4}	{2 3 4}	norm
tUnknown/unknownIsLst2	test tUnknown = {}	{?={2 3 4}}	{{2 3 4}}	norm
parse/parse3n4	3 char then 4 char strings	{*3+$ *4+$} == 'CatDogs'	{'Cat' 'Dogs'}	norm
parse/catHatDogPig	4 three char strings	*4 +{*3+$|...} ==: 'catHatDogPig'	{'cat' 'Hat' 'Dog' 'Pig'}	norm
parse/simple2	Simple Parsing 2	{*3+$|...}=='CatHatBatDog' 	{'Cat' 'Hat' 'Bat' 'Dog'}	norm
# parse/inner	Inner parsing 1	{ {*3+$}|...}=='CatHatBatDog' 	({{'Cat' } {'Hat' } {'Bat' } {'Dog' }})	norm
# parse/get2nd	Parse select 2nd	 [...] == 'ARONdacks' = {'AARON' 'ARON'}	'ARON'	norm
parse/reps1	Parse repetition	{{'A'|...} 'R'} ==: 'AARON'	{{'A' 'A'} 'R'}	norm
parse/reps2	Parse repetition	{{'A'|...}'AARON'} == 'AAAARON'	{{'A' 'A'} 'AARON'}	norm
parse/innerID	No parent worklist	{1{{2 _=3}}}	{1 {{2 3}}}	norm
parse/grouping1	Group into pairs 1	{{_ _}|...} == {1 2 3 4 5 6 7 8}	{{1 2} {3 4} {5 6} {7 8}}	norm
parse/grouping2	Group into pairs 2	{*2+{...}|...} == {1 2 3 4 5 6 7 8}	{{1 2} {3 4} {5 6} {7 8}}	norm
func/simpleList1	test func = list	[...] = {1 2 3}	{1 2 3}	norm
func/simpleList2	test func == list	[...] == {1 2 3}	{1 2 3}	norm
func/simpleList3	test func ==: list	[...] ==: {1 2 3}	*_+{1 2 3}	norm
func/anonFunc1	test anon functions	[_ 456 789] <: +123	789	norm
# parse/select1st	Parse & select option 1	[...]=='AARONdacks' :== {'AARON' 'ARON'} 	('AARON')	norm
# parse/2Itms	Two item parse	{[...] :== {'AARON' 'BOBO' 'ARON' 'AAAROM'}   'dac'} ==  'ARONdacks'	({'ARON' 'dac' })	norm
# parse/2ItmsGet1st	Two item parse: get first option	{[...] :== {'ARON' 'BOBO' 'AARON' 'CeCe'}   'dac'} ==  'ARONdacks'	({'ARON' 'dac' })	norm
innr/oneOf	Choose one of	[...]=='AARONDacs' <~ {'ARON' 'AARON' 'ERIN'}	'AARON'	norm
query/first	Get first item	*1+['Cat' 'Hat' 'Bat' 'Dog']	'Cat'	norm
query/getNth	Get Nth item	*3+['Cat' 'Hat' 'Bat' 'Dog']	'Bat'	norm
# query/firstStrA	Get first String	[&{&{_|...} $} =: {2 3 'Cat' 'Hat'}]	'Cat'	norm
query/firstStrB	Get first String	[&{_|...} $]<~{2 3 'Cat' 'Hat'}	'Cat'	norm
query/firstStrC	Get first String	[&{!$|...} $]<~{2 {'Hi' 3 } 4 'Cat' 'Hat'}	'Cat'	norm
write/writeStrA	Write first String	{2 3 $ 'Hat'}.$ = 'Cat';	{2 3 'Cat' 'Hat'}	norm
write/writeByIdx	Write third item	{'Cat' 'Hat' $ 'Dog'}#3 = 'Bat';	{'Cat' 'Hat' 'Bat' 'Dog'}	norm
write/first	    Write first item	{$ 'Hat' 'Bat' 'Dog'}.first = 'Cat';	{'Cat' 'Hat' 'Bat' 'Dog'}	norm
write/last	    Write last item	{'Cat' 'Hat' 'Bat' $}.last = 'Dog';	{'Cat' 'Hat' 'Bat' 'Dog'}	norm
write/1stAndLst	Write 1st & last item	{$ 'Hat' 'Bat' $}.first='Cat';.last='Dog';	{'Cat' 'Hat' 'Bat' 'Dog'}	norm
read/readStrA	Read first String	{2 3 'Cat' 'Hat'}.$	'Cat'	norm
read/readByIdx	Read third item	{'Cat' 'Hat' 'Bat' 'Dog'}#3	'Bat'	norm
read/first	    Read first item	{'Cat' 'Hat' 'Bat' 'Dog'}.first	'Cat'	norm
read/last	    Read last item	{'Cat' 'Hat' 'Bat' 'Dog'}.last	'Dog'	norm
word/useTags	Usage tags	{@howdy <en_US southern slang> ='hello'}	{@howdy <en_US southern slang >= 'hello'}	norm
word/pluralize	Singular to plural	{bike| ... }	bikes:{bike|  ... }	norm
word/findPlural	Find plural	{123, foot, {foot|foot1,foot2}}.feet	feet:{foot1, foot2}	norm
neg/simple	    Negative cnvt	*10-1	*10+9	norm
fracs/simple	simple	*10+8/2	*10+4	norm
range/join	    Range joins	*10+(2+3)	*10+5	norm
range/select1	Select in range	{[&{!(*4+_ +2)|  ... } (*4+_ +2)] | ...} <~ {1 2 0 3 4 5 6 7}	{2 3 4 5}	norm
range/select2	Select in range	{[&{!*4+_|  ... } *4+_] | ...} <~ {1 2 0 3 444 555 666 777 2}	{1 2 0 3 2}	norm
range/select3	Select in range	{[&{!*4+_|  ... } *4+_] | ...} <~ {1 *3+_  5 *4+(*2+_ +1)  *4+_  }	{1 *4+_ *4+(*2+_ +1) *4+_}	norm
range/concat1	Overlapping range	*10+(*5+_+2) = *10+(*4+_+5)	*10+(*2+_ +5)	norm
range/dot	    Find with dot	{1 0 6 7 8 4 5 6 7}.*10+(*3+_+2) 	4	norm
# range/alts	    Select alts	{[&{!*_+[*10+(*3+_+2) *10+(*3+_+6)]|  ... } *_+[*10+(*3+_+2) *10+(*3+_+6)]] | ...} <~ {1 2 3 4 5 6 7 8 9}	{2 3 4 6 7 8}	norm
slice/select	Select slice	[& *3+{...} <&*4+{...}> ] <~ {3 4 5 6 7 8 9 0}	{6 7 8 9}	norm
slice/sugar	    Select sugar	{1 2 3 4 5 6 7 8 9 0}#3:*4+{ ... } ;	{4 5 6 7}	norm
lang/splitText	Split English text	{english-text:"Whoever says they can't is right"}	{english-phrase:{Whoever says they can't is right}}	norm
# temp/t1	        Merge many idents	_=_=321	321err	norm
# time/t1	        Simple T-infon	*5+{T *256+_ = *256+3 | 1 ...}	321err	norm
